PC1,PC2,target_fraud
-3783.389874470584,-258.65861304239434,1
7478.0058577976815,-6340.547428026466,1
-4190.090235611271,-5799.632607237832,0
-9049.104222080023,-3789.935476628642,0
-14122.593950181046,-1205.923782974275,0
-9328.595482075667,7380.29586969396,0
-1621.275689112923,-3497.4195094101183,0
-9477.444776461423,1197.0203156469252,0
-6629.720208607427,440.84357043307,0
-5231.663866196168,-5590.51026185617,0
-9933.431945847224,-2556.2199117617665,0
21782.744189671816,4726.17910905877,1
-13215.235892261777,784.2936918835821,1
-10297.15668942249,-617.7669615098903,1
-13473.392102428383,-1090.3017078632706,0
13432.433713702507,2369.271372178433,0
-11505.55389729195,-991.2605378348849,1
3625.041043282239,18906.130258620502,1
3504.7797415695422,-4374.513758302573,1
-5377.394145020076,5238.523007038717,0
-3025.948015995533,10361.75858653032,0
-2934.526521017009,12189.075896758253,0
14582.864379340397,-10370.117707972093,1
-11558.412875416356,-2531.6634984483953,0
18659.4280477129,-11758.098362429033,0
-1645.6334774484876,12759.90411323249,0
5245.085465162869,-747.9566217686115,0
8242.418734792045,-6292.051314904403,0
412.2281514786446,4518.677579497965,0
-12068.330412229116,-3419.7435982219067,1
-5651.297293452921,3497.841074277362,0
16427.0594751714,2299.2285744027713,1
-962.5174324177733,-6414.703566390177,0
-3210.5416522754003,-2742.8793484428197,0
-3156.580349925136,14160.140266493101,0
-7444.71460459307,598.1707030135003,0
22057.980128029958,3250.118505499132,1
-8266.993363139463,-1376.8850164125502,0
-3085.456059566226,2398.2036634883025,0
-10657.237707896078,-2168.280570658655,0
-13676.101799239088,-1657.0649950062816,1
-9523.570999273987,-1740.8078633601324,0
-8086.098168423555,12474.344900876245,0
-12178.630493753584,-1248.880686350384,0
7849.593638643666,2970.668046807931,0
7933.445332087089,-53.50151279504644,1
-14370.747302245343,-2056.932715466881,0
-416.6678180488525,-7251.732487758505,1
-9457.08171625353,-4324.612746452082,0
-4228.088411802282,-2993.4396973417406,0
-5246.399173257034,-4934.008554614817,1
-1037.4250733813187,-4822.344015497149,0
13634.633649595246,-10058.959256265036,0
-3174.5092499415823,-2056.799027483372,1
-6607.012681097247,1212.995573716038,0
6360.023367310805,11763.896335662208,1
-5974.882339554186,-2500.9548765640634,1
-1550.9343704493476,21909.312616324907,0
1809.8675032812898,13909.522002635062,0
-2376.3368272844127,-2168.90966945984,0
-3050.428079820773,-5137.842266096203,1
-11706.192878449549,3588.4757918367586,0
-13806.548065147295,-3556.3067587702203,0
2618.59721285617,6127.920202074218,0
-2488.3729950997877,-873.3253192367174,0
7979.975216242994,174.2062319674642,1
-12313.577744140319,1628.8315214143822,0
-4678.078197515697,-2715.7415591557497,1
-5569.287350049815,6218.197925734959,0
-10675.864724917583,-2669.4024681801907,0
496.5438114072949,-4871.594939580196,0
-10835.543030856259,-4394.385220076005,0
3350.2732701547684,-6369.771592222557,0
-12600.879432567983,-3761.2780752735334,1
-8476.72452089316,12941.538043168983,0
-10372.631713998617,-3150.93289195774,0
-12717.397455381379,733.757087253548,0
13507.118942301455,1390.6381479476358,0
25347.750283068606,5850.58670614145,1
10441.607894018307,-10424.580825049,1
-14227.057937761467,-2045.109513643392,0
3807.6934452994938,-3241.7006243940596,0
15107.596774748174,1424.037877420872,0
-12173.905737028559,-91.40460813916206,0
-14090.012767736876,-2778.590682271861,1
10059.502490510706,-2892.9794394289997,1
-6000.434269116011,-1088.7470887242039,0
-8399.327843384279,2327.0249963617316,0
-9743.972295123875,-3198.3477874476257,0
19133.817756404016,-2782.6007906034465,0
12745.644402529666,-8578.661916852792,1
-3951.617621285146,-3947.5871460134617,0
19218.70623220047,-8919.949477099934,1
-13605.038227150886,-2980.1622416701352,0
-3112.9417888417665,-6280.63398192784,0
27093.168470454577,-6454.420828101664,1
-14857.218343548933,-3185.6217626440766,0
10151.898749736523,13165.407584976585,1
-8015.107966374688,-3727.6165528304537,0
-8432.09908718464,-541.267731189475,0
1805.72704605756,6078.191759433948,0
-390.95290567490883,-4669.319571008102,0
-6025.937853444979,9545.204245416182,1
-3804.888819780701,11048.670723094394,0
-10337.486686839693,-1450.9894149790923,0
-12951.08766403835,-3238.231923685837,0
-6882.08310450385,483.30675157469386,0
-347.65763174349195,-4857.866027149901,1
11489.879876223822,-682.898359970683,0
5612.6730658994675,-2825.268573155431,0
9572.412328831258,-5083.309592400024,0
10162.383696708024,-1479.6306514465198,0
-6705.85350806918,-3780.5337065529857,1
-8326.790590270182,-1996.2123050419434,0
-7888.473693137645,-1505.321594404699,0
-11813.977936335097,-4034.27610392659,0
-11436.965570845365,-2785.4855651003104,0
7771.340418020769,13443.033938486937,0
-5860.386101099024,914.9144512885023,0
-182.36952996212676,-5472.863374482764,0
-5152.645241121016,-196.10456093506627,0
-8932.968445317527,-2427.770037931612,0
-6442.528721007084,-5593.704541713197,0
17466.95674384088,-6178.120509765544,0
-5873.74107858971,61.30938964732968,0
6135.034774082105,-6615.491656234979,0
11948.696783285664,11631.960436421925,0
10070.76429260663,112.76752481216181,0
16498.801175173583,1259.665180588896,1
-8754.807757561337,-2836.3051682418863,0
-3166.4046970197796,4414.673573655296,0
-1202.7927103122474,-2687.1908525422,0
-1822.8739164640865,1347.703234878626,0
20974.12710198285,-11700.143125736626,0
-3967.9480457515583,4216.9771888240375,0
16835.1841786271,-4859.235437720559,0
7328.851363609043,-1800.5562805392592,0
19574.63991882807,-14828.037886944188,0
-9422.726312290084,-3415.592868624291,0
16290.582191655925,10545.740503035277,0
21003.5443930743,10070.02759654514,0
17967.134685827077,-3687.5852762622935,0
-245.08253450129087,1212.7979304678129,1
-10005.678353699659,1923.1408155324625,0
-13320.4462115854,-1335.664386844783,0
-12566.258434173758,-2859.0018063614652,0
-3476.6867662660916,3342.0898809662795,1
-11929.004955410737,-3931.8099576321233,0
1319.385198006783,1314.9818293513417,0
6720.918633730893,-5134.5302562040415,1
17016.016497790522,1725.420892365395,0
16901.998511053604,11412.26607292226,0
11171.803993198759,-2050.082089689031,1
-11621.196213686504,2891.0158668447093,0
